amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha_x,beta_x,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,sharpe_rank,sortino_rank,alpha_y,beta_y,max_drawdown,return_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,0.575,25.0,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,1.0,1.0,0.5,0.9,80.88
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,High,0.6,19.5,0.2926358334175106,0.000549004250631735,-0.18188513572116294,0.825,0.95,0.65,0.625,74.75
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,Moderately High,0.725,12.0,0.27330465038306057,-0.022829569792426528,-0.1297396816518679,0.75,0.9,0.475,0.325,69.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,Moderate,0.8375,10.0,0.2698375144191807,0.023683558075848637,-0.11265729075028275,0.6,0.85,0.45,0.2,64.69
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,Moderately High,0.725,15.5,0.1625385327998104,0.041896462728119754,-0.1982565826298267,0.575,0.525,0.55,0.675,60.88
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,Moderately High,0.4625,13.0,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,0.55,0.675,0.3625,0.475,51.75
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,7.68,10.37,0.5,-2.62,39116,0.74,5,Low,1.0,1.0,0.06746210411099539,-0.00044409263297072297,-0.0009773140045925555,0.15,0.25,0.85,0.025,47.5
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,Low,0.925,4.0,0.042817920315060876,0.0011582183155281435,-0.04308263824636349,0.125,0.075,0.975,0.1,44.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,Low,0.875,5.0,0.05074772999976104,0.0012566742731558499,-0.08316361763638702,0.05,0.15,1.0,0.15,42.88
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,High,0.0625,40.0,0.2827036785246582,0.018133884083859228,-0.1639674294693263,0.45,0.925,0.1125,0.525,40.5
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,Moderate,0.4625,34.0,0.1513635464823924,-0.0014335213897801215,-0.1165062450540909,0.225,0.45,0.7,0.25,40.31
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,Moderate,0.5375,28.0,0.17048756803412696,-0.019486785689474536,-0.1085986215250232,0.275,0.55,0.175,0.175,37.06
