scheme_name,sharpe_ratio,sharpe_rank
ICICI Pru Liquid Fund - Regular - Growth,7.68,1.0
Kotak Liquid Fund - Regular - Growth,6.18,2.0
ABSL Liquid Fund - Regular - Growth,5.14,3.0
HDFC Short Term Debt Fund - Regular - Growth,1.84,4.0
SBI Magnum Gilt Fund - Regular Plan - Growth,1.52,5.0
Nippon India Gilt Securities Fund - Regular - Growth,1.33,6.0
Mirae Asset Large Cap Fund - Regular - Growth,1.06,7.5
HDFC Top 100 Fund - Regular Plan - Growth,1.06,7.5
ICICI Pru Bluechip Fund - Direct - Growth,1.03,9.0
Nippon India Large Cap Fund - Regular - Growth,1.0,10.0
ABSL Frontline Equity Fund - Regular - Growth,0.98,12.0
ICICI Pru Value Discovery Fund - Regular - Growth,0.98,12.0
Kotak Flexicap Fund - Regular - Growth,0.98,12.0
HDFC Top 100 Fund - Direct Plan - Growth,0.96,15.0
UTI Flexi Cap Fund - Regular - Growth,0.96,15.0
Kotak Emerging Equity Fund - Regular - Growth,0.96,15.0
ICICI Pru Midcap Fund - Regular - Growth,0.95,17.0
SBI Small Cap Fund - Regular Plan - Growth,0.94,18.0
UTI Nifty 50 Index Fund - Regular - Growth,0.93,19.5
SBI Small Cap Fund - Direct Plan - Growth,0.93,19.5
DSP Top 100 Equity Fund - Regular - Growth,0.92,21.0
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.91,22.5
Nippon India ETF Nifty 50 BeES,0.91,22.5
ABSL Small Cap Fund - Regular - Growth,0.9,24.5
DSP Midcap Fund - Regular - Growth,0.9,24.5
Nippon India Large Cap Fund - Direct - Growth,0.88,26.5
SBI Bluechip Fund - Regular Plan - Growth,0.88,26.5
Kotak Bluechip Fund - Regular - Growth,0.87,29.0
Axis Bluechip Fund - Direct - Growth,0.87,29.0
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.87,29.0
Axis Bluechip Fund - Regular - Growth,0.85,31.0
Axis Small Cap Fund - Regular - Growth,0.84,32.0
UTI Mid Cap Fund - Regular - Growth,0.82,33.5
ICICI Pru Bluechip Fund - Regular - Growth,0.82,33.5
SBI Bluechip Fund - Direct Plan - Growth,0.81,35.5
Nippon India Small Cap Fund - Regular - Growth,0.81,35.5
Axis Midcap Fund - Regular - Growth,0.8,38.5
Mirae Asset Tax Saver Fund - Regular - Growth,0.8,38.5
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.8,38.5
DSP Small Cap Fund - Regular - Growth,0.8,38.5
