scheme_name,sortino_ratio,sortino_rank
ICICI Pru Liquid Fund - Regular - Growth,10.37,1.0
Kotak Liquid Fund - Regular - Growth,9.7,2.0
ABSL Liquid Fund - Regular - Growth,8.76,3.0
HDFC Short Term Debt Fund - Regular - Growth,2.79,4.0
Nippon India Gilt Securities Fund - Regular - Growth,2.38,5.0
SBI Magnum Gilt Fund - Regular Plan - Growth,2.11,6.0
HDFC Top 100 Fund - Regular Plan - Growth,1.7,7.0
Nippon India Large Cap Fund - Regular - Growth,1.68,8.0
SBI Small Cap Fund - Direct Plan - Growth,1.67,9.0
Mirae Asset Large Cap Fund - Regular - Growth,1.66,10.0
DSP Top 100 Equity Fund - Regular - Growth,1.63,11.0
Kotak Flexicap Fund - Regular - Growth,1.57,12.0
Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.55,13.0
Axis Bluechip Fund - Direct - Growth,1.54,14.0
ICICI Pru Value Discovery Fund - Regular - Growth,1.5,15.5
DSP Midcap Fund - Regular - Growth,1.5,15.5
Nippon India Large Cap Fund - Direct - Growth,1.48,17.0
ABSL Small Cap Fund - Regular - Growth,1.47,18.0
ICICI Pru Midcap Fund - Regular - Growth,1.45,19.5
HDFC Top 100 Fund - Direct Plan - Growth,1.45,19.5
HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.44,21.0
Axis Small Cap Fund - Regular - Growth,1.4,22.0
HDFC Mid-Cap Opportunities Fund - Direct - Growth,1.38,23.0
UTI Flexi Cap Fund - Regular - Growth,1.37,24.0
SBI Small Cap Fund - Regular Plan - Growth,1.35,25.0
Kotak Bluechip Fund - Regular - Growth,1.34,26.0
UTI Nifty 50 Index Fund - Regular - Growth,1.29,28.0
SBI Bluechip Fund - Regular Plan - Growth,1.29,28.0
SBI Bluechip Fund - Direct Plan - Growth,1.29,28.0
Kotak Emerging Equity Fund - Regular - Growth,1.27,30.5
ICICI Pru Bluechip Fund - Direct - Growth,1.27,30.5
ABSL Frontline Equity Fund - Regular - Growth,1.25,32.5
Axis Bluechip Fund - Regular - Growth,1.25,32.5
Nippon India ETF Nifty 50 BeES,1.24,34.0
DSP Small Cap Fund - Regular - Growth,1.23,35.0
UTI Mid Cap Fund - Regular - Growth,1.21,36.0
Axis Midcap Fund - Regular - Growth,1.18,37.0
Nippon India Small Cap Fund - Regular - Growth,1.14,38.0
ICICI Pru Bluechip Fund - Regular - Growth,1.12,39.0
Mirae Asset Tax Saver Fund - Regular - Growth,1.03,40.0
