scheme_name,category,fund_score,return_3yr_pct,sharpe_ratio
SBI Small Cap Fund - Regular Plan - Growth,Small Cap,80.88,23.39,0.94
ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,74.75,18.08,0.95
Kotak Flexicap Fund - Regular - Growth,Flexi Cap,69.0,15.65,0.98
SBI Small Cap Fund - Direct Plan - Growth,Small Cap,68.5,23.14,0.93
Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,64.69,14.81,1.06
ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,63.62,14.41,1.03
HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,62.25,16.58,0.87
DSP Small Cap Fund - Regular - Growth,Small Cap,62.0,20.08,0.8
Nippon India Large Cap Fund - Regular - Growth,Large Cap,61.31,14.0,1.0
ICICI Pru Value Discovery Fund - Regular - Growth,Value,60.88,14.76,0.98
